	MoveAhead	RotateLeft	RotateRight	LookUp	LookDown	FoundTom	FoundBowl	Done	Success
460	14	0	12	0	7	1	1	1	1
461	6	0	6	0	2	2	1	1	1
462	17	0	8	0	0	1	1	1	1
463	18	0	6	0	2	2	2	1	1
464	18	0	12	0	1	1	1	1	1
465	10	0	12	0	2	2	1	1	1
466	10	0	12	0	1	2	1	1	1
467	16	0	10	0	2	1	1	1	1
468	10	0	8	0	2	2	1	1	1
469	29	0	24	0	0	1	3	1	1
470	3	0	10	0	1	2	1	1	1
471	14	0	8	0	1	1	2	1	1
472	8	0	4	0	2	1	1	1	1
473	19	0	14	0	2	2	1	1	1
474	7	0	8	0	2	2	1	1	1
475	12	0	6	0	0	2	1	1	1
476	22	0	16	0	0	1	3	1	1
477	19	0	14	0	2	2	1	1	1
478	10	0	10	0	1	2	1	1	1
479	19	0	12	0	2	2	1	1	1
480	99	0	1	0	0	0	0	0	0
481	16	0	12	0	0	2	1	1	1
482	10	0	6	0	2	2	1	1	1
483	99	0	0	0	1	0	0	0	0
484	15	0	12	0	1	2	1	1	1
485	99	0	1	0	0	0	0	0	0
486	3	0	6	0	2	2	1	1	1
487	10	0	8	0	0	2	1	1	1
488	17	0	6	0	0	2	1	1	1
489	20	0	12	0	2	2	2	1	1
490	10	0	8	0	1	2	1	1	1
491	15	0	12	0	0	2	1	1	1
492	10	0	12	0	1	1	1	1	1
493	12	0	10	0	0	2	1	1	1
494	23	0	8	0	1	2	1	1	1
495	14	0	12	0	0	2	1	1	1
496	10	0	6	0	0	2	1	1	1
497	15	0	14	0	1	2	1	1	1
498	10	0	10	0	0	2	1	1	1
499	15	0	10	0	0	2	1	1	1
500	3	0	4	0	2	1	1	1	1
